No.,Year,Paper,Year_R,Paper_Ref
73,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,You Only Look Once: Unified. Real-Time Object Detection
74,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Yolo9000: Better. faster. stronger
75,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,YOLOv3: An incremental improvement
76,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2008,A new approach for context-independent handwritten offline diagram recognition using support vector machines
77,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
78,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2014,Flowchart recognition for non-textual information retrieval in patent search
79,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,ImageNet Large Scale Visual Recognition Challenge
80,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,ICDAR 2017 Competition on Handwritten Text Recognition on the READ Dataset
81,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2000,Adaptive document image binarization
82,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,Arrow R-CNN for handwritten diagram recognition
83,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Arrow R-CNN for flowchart recognition
84,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,DiagramNet: Hand-Drawn Diagram Recognition Using Visual Arrow-Relation Detection
85,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,Sketch2BPMN: Automatic recognition of hand-drawn BPMN models
86,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,Sketch2Process: End-to-end BPMN Sketch Recognition Based on Neural Networks
87,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,Ein Datensatz handgezeichneter UML-Klassendiagramme f�r maschinelle Lernverfahren. Abschlussarbeit -Bachelor. Karlsruher Institut f�r Technologie (KIT) / Karlsruher Institut f�r Technologie (KIT)
88,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2003,Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis
89,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,SAP Signavio Academic Models: A Large Process Model Dataset
90,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Deep High-Resolution Representation Learning for Human Pose Estimation
91,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,FR-DETR: End-to-End Flowchart Recognition With Precision and Robustness
92,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Integral Human Pose Regression
93,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,Computer Vision: Algorithms and Applications
94,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,Unifying Vision. Text. and Layout for Universal Document Processing
95,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2020,Label Studio: Data labeling software. 2020-2022
96,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2014,DeepPose: Human pose estimation via deep neural networks
97,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2014,Scikit-image: Image processing in Python
98,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2008,Flowchart knowledge extraction on image processing
99,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Attention is all you need
100,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2011,Visual thinking in action: Visualizations as used on whiteboards
